cve_id,cwe_id,published_date,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,is_exploited,cve_age_days
CVE-2020-29062,CWE-798,2020-11-24 21:15:12.353,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2029
CVE-2020-29375,CWE-798,2020-11-29 01:15:10.567,8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2024
CVE-2020-29376,CWE-798,2020-11-29 01:15:10.630,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2024
CVE-2020-29377,CWE-798,2020-11-29 01:15:10.693,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2024
CVE-2020-29382,CWE-798,2020-11-29 01:15:11.257,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2024
CVE-2020-29383,CWE-798,2020-11-29 01:15:11.317,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2024
CVE-2020-35338,CWE-798,2020-12-14 18:15:13.777,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2009
CVE-2020-25229,"CWE-321,CWE-798",2020-12-14 21:15:19.800,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,0,2009
CVE-2020-0016,CWE-798,2020-12-14 23:15:11.453,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2009
CVE-2020-25620,CWE-798,2020-12-16 15:15:12.523,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2007
CVE-2019-14482,CWE-798,2020-12-16 16:15:13.743,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2007
CVE-2020-6882,CWE-798,2020-12-21 18:15:16.790,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,2002
CVE-2020-8995,CWE-798,2020-12-21 22:15:13.643,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2002
CVE-2020-11720,CWE-798,2020-12-23 16:15:12.450,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,2000
CVE-2020-11719,CWE-798,2020-12-23 17:15:12.557,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,2000
CVE-2020-2499,"CWE-259,CWE-522,CWE-798",2020-12-24 02:15:12.423,6.3,LOCAL,LOW,HIGH,REQUIRED,CHANGED,LOW,HIGH,NONE,0,1999
CVE-2020-29193,CWE-798,2020-12-28 07:15:13.437,6.8,PHYSICAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1995
CVE-2020-10207,CWE-798,2020-12-29 23:15:12.190,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1994
CVE-2020-10210,CWE-798,2020-12-29 23:15:12.253,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1994
CVE-2020-10206,CWE-798,2020-12-30 00:15:12.550,4.4,LOCAL,LOW,LOW,NONE,UNCHANGED,LOW,LOW,NONE,0,1993
